Group,GroupDir,Title,Year,Album,Filename,token_n,type_v,guiraud
New,new,PAPARAZZI,2018,ANTI ANTI,new_17_paparazzi.txt,443,262,12.447995659414193
New,new,TWILIGHT,2021,FOREVER DAZE,new_20_twilight.txt,192,117,8.443747686898277
New,new,そっけない,2018,ANTI ANTI,new_04_sokkenai.txt,181,112,8.324894437968263
New,new,なんでもないや,2016,人間開花,new_02_nandemo.txt,208,112,7.7658027471532085
New,new,カタルシスト,2018,ANTI ANTI,new_13_catharsist.txt,243,124,7.954603708834844
New,new,グランドエスケープ,2019,天気の子,new_06_grand.txt,171,108,8.258966419340224
New,new,サイハテアイニ,2017,人間開花(S),new_11_saihate.txt,184,105,7.740702698132099
New,new,スパークル,2016,人間開花,new_03_sparkle.txt,100,88,8.8
New,new,万歳千唱,2018,ANTI ANTI,new_12_banzai.txt,166,97,7.528660099351429
New,new,光,2016,人間開花,new_16_hikari.txt,109,72,6.89634925359229
New,new,前前前世,2016,人間開花,new_01_zenzen.txt,158,93,7.398682742834289
New,new,夢灯籠,2016,人間開花,new_08_yumetourou.txt,81,72,8
New,new,愛にできることはまだあるかい,2019,天気の子,new_05_ainidekiru.txt,204,116,8.121624487362457
New,new,棒人間,2016,人間開花,new_09_boningen.txt,229,125,8.260232505688622
New,new,正解,2018,ANTI ANTI,new_07_seikai.txt,201,129,9.098958444575917
New,new,泣き出しそうだよ,2018,ANTI ANTI,new_14_nakidashiso.txt,156,74,5.924741690788224
New,new,洗脳,2018,ANTI ANTI,new_18_senno.txt,281,157,9.36583478446873
New,new,猫じゃらし,2020,FOREVER DAZE,new_10_neko.txt,140,86,7.268326590665242
New,new,週刊少年ジャンプ,2016,人間開花,new_15_jump.txt,207,113,7.854042929483149
New,new,鋼の羽根,2021,FOREVER DAZE,new_19_hagane.txt,240,147,9.488809198208171
Old,old,25ｺ目の染色体,2005,RADWIMPS 3,old_12_25ko.txt,279,167,9.998028479490468
Old,old,DADA,2011,絶体絶命,old_13_dada.txt,197,150,10.687057498186446
Old,old,DARMA GRAND PRIX,2013,×と○と罪と,old_05_darma.txt,195,135,9.667550799532345
Old,old,Tummy,2013,×と○と罪と,old_19_tummy.txt,556,219,9.287668779995682
Old,old,me me she,2006,RADWIMPS 4,old_04_memeshe.txt,143,98,8.195171698069489
Old,old,いいんですか?,2006,RADWIMPS 4,old_03_iindesuka.txt,301,99,5.706265135271926
Old,old,おしゃかしゃま,2009,アルトコロニー,old_08_oshakashama.txt,246,142,9.053589325499404
Old,old,ふたりごと,2006,RADWIMPS 4,old_02_futarigoto.txt,264,160,9.847319278346617
Old,old,オーダーメイド,2008,アルトコロニー,old_15_ordermade.txt,229,114,7.533332045188023
Old,old,セプテンバーさん,2006,RADWIMPS 3,old_11_september.txt,179,96,7.175376890418584
Old,old,トレモロ,2006,RADWIMPS 3,old_07_tremolo.txt,149,98,8.028472821086597
Old,old,五月の蝿,2013,×と○と罪と,old_16_gogatsu.txt,234,152,9.936550847001325
Old,old,会心の一撃,2013,×と○と罪と,old_06_kaishin.txt,234,130,8.498365855987974
Old,old,君と羊と青,2011,絶体絶命,old_09_kimitohitsuji.txt,159,116,9.199398394330471
Old,old,夢番地,2006,RADWIMPS 4,old_14_yumebanchi.txt,227,108,7.168211765279697
Old,old,実況中継,2013,×と○と罪と,old_20_jikkyo.txt,404,249,12.388213018114365
Old,old,携帯電話,2010,絶体絶命,old_17_keitai.txt,221,87,5.852253307767918
Old,old,最大公約数,2006,RADWIMPS 3,old_10_saidai.txt,231,124,8.158601017501136
Old,old,有心論,2006,RADWIMPS 4,old_01_yushinron.txt,249,144,9.125629207552482
Old,old,狭心症,2011,絶体絶命,old_18_kyoshinsho.txt,248,149,9.461509461514192
