Group,GroupDir,Title,Year,Album,Filename,token_n,sentiment_score
New,new,PAPARAZZI,2018,ANTI ANTI,new_17_paparazzi.txt,443,-0.1985167208954101
New,new,TWILIGHT,2021,FOREVER DAZE,new_20_twilight.txt,192,-0.24820581710069445
New,new,そっけない,2018,ANTI ANTI,new_04_sokkenai.txt,181,-0.17956789548802948
New,new,なんでもないや,2016,人間開花,new_02_nandemo.txt,208,-0.2650402736378205
New,new,カタルシスト,2018,ANTI ANTI,new_13_catharsist.txt,243,-0.1551258612894376
New,new,グランドエスケープ,2019,天気の子,new_06_grand.txt,171,-0.33173411062378166
New,new,サイハテアイニ,2017,人間開花(S),new_11_saihate.txt,184,-0.20699002038043476
New,new,スパークル,2016,人間開花,new_03_sparkle.txt,100,-0.28858672333333335
New,new,万歳千唱,2018,ANTI ANTI,new_12_banzai.txt,166,-0.18616475381526104
New,new,光,2016,人間開花,new_16_hikari.txt,109,-0.19333691590214067
New,new,前前前世,2016,人間開花,new_01_zenzen.txt,158,-0.2374465670886076
New,new,夢灯籠,2016,人間開花,new_08_yumetourou.txt,81,-0.3014073504115226
New,new,愛にできることはまだあるかい,2019,天気の子,new_05_ainidekiru.txt,204,-0.09885109787581699
New,new,棒人間,2016,人間開花,new_09_boningen.txt,229,-0.18326492933042213
New,new,正解,2018,ANTI ANTI,new_07_seikai.txt,201,-0.20599017654584223
New,new,泣き出しそうだよ,2018,ANTI ANTI,new_14_nakidashiso.txt,156,-0.22525092724358972
New,new,洗脳,2018,ANTI ANTI,new_18_senno.txt,281,-0.20929992291814944
New,new,猫じゃらし,2020,FOREVER DAZE,new_10_neko.txt,140,-0.2623344130952381
New,new,週刊少年ジャンプ,2016,人間開花,new_15_jump.txt,207,-0.19008429838969404
New,new,鋼の羽根,2021,FOREVER DAZE,new_19_hagane.txt,240,-0.21169124743055556
Old,old,25ｺ目の染色体,2005,RADWIMPS 3,old_12_25ko.txt,279,-0.1353185269414576
Old,old,DADA,2011,絶体絶命,old_13_dada.txt,197,-0.17393252876480542
Old,old,DARMA GRAND PRIX,2013,×と○と罪と,old_05_darma.txt,195,-0.2353329815042735
Old,old,Tummy,2013,×と○と罪と,old_19_tummy.txt,556,-0.05498861300179856
Old,old,me me she,2006,RADWIMPS 4,old_04_memeshe.txt,143,-0.22205928613053613
Old,old,いいんですか?,2006,RADWIMPS 4,old_03_iindesuka.txt,301,-0.04385508513842746
Old,old,おしゃかしゃま,2009,アルトコロニー,old_08_oshakashama.txt,246,-0.1645371113821138
Old,old,ふたりごと,2006,RADWIMPS 4,old_02_futarigoto.txt,264,-0.1251611665909091
Old,old,オーダーメイド,2008,アルトコロニー,old_15_ordermade.txt,229,-0.1598890941775837
Old,old,セプテンバーさん,2006,RADWIMPS 3,old_11_september.txt,179,-0.25156612849162013
Old,old,トレモロ,2006,RADWIMPS 3,old_07_tremolo.txt,149,-0.2712680596196868
Old,old,五月の蝿,2013,×と○と罪と,old_16_gogatsu.txt,234,-0.22180806488176635
Old,old,会心の一撃,2013,×と○と罪と,old_06_kaishin.txt,234,-0.26438469608262105
Old,old,君と羊と青,2011,絶体絶命,old_09_kimitohitsuji.txt,159,-0.28441126352201257
Old,old,夢番地,2006,RADWIMPS 4,old_14_yumebanchi.txt,227,-0.20756998535976506
Old,old,実況中継,2013,×と○と罪と,old_20_jikkyo.txt,404,-0.22964686324257425
Old,old,携帯電話,2010,絶体絶命,old_17_keitai.txt,221,-0.16205827601809955
Old,old,最大公約数,2006,RADWIMPS 3,old_10_saidai.txt,231,-0.19505196378066378
Old,old,有心論,2006,RADWIMPS 4,old_01_yushinron.txt,249,-0.22289841224899598
Old,old,狭心症,2011,絶体絶命,old_18_kyoshinsho.txt,248,-0.19177688528225806
